symbol,dst,weight
UCG.MI,BAMI.MI,2.314692445690555
ISP.MI,BAMI.MI,2.3126168034742087
TPEIR.AT,SPL.WA,2.3116932901524327
OSB.L,UBSG.SW,2.3107293837221925
BAMI.MI,BKT.MC,2.310259651488227
NONG.OL,BMED.MI,2.310204598743462
BKT.MC,BMED.MI,2.309701902178887
HSBA.L,ISP.MI,2.309408191652424
ABN.AS,GLE.PA,2.309339989534826
BARC.L,HSBA.L,2.3092829726819404
SWED-A.ST,JYSK.CO,2.308954830308828
DANSKE.CO,UCG.MI,2.30798154463395
KBC.BR,FBK.MI,2.306273837407016
ABN.AS,DANSKE.CO,2.3053925219783045
ACA.PA,BBVA.MC,2.3049166775696834
RBI.VI,DBK.DE,2.3032153353173577
BPE.MI,BMED.MI,2.3025983372938854
INGA.AS,DBK.DE,2.30159446551087
INVP.L,BNP.PA,2.29979730350482
STAN.L,NWG.L,2.298504392862623
ISP.MI,ACA.PA,2.298162450183677
CABK.MC,DBK.DE,2.297200951453597
BNP.PA,BAMI.MI,2.294946315926369
EUROB.AT,BARC.L,2.2934894916146806
BCGE.SW,UCG.MI,2.293436798667441
BPSO.MI,SAB.MC,2.293404454955729
EFGN.SW,KBC.BR,2.291613623195816
INGA.AS,BKT.MC,2.2889054607452
SAB.MC,BMED.MI,2.28809919352271
KBC.BR,SAN.MC,2.286217596518083
DNB.OL,DANSKE.CO,2.282319886364503
TLV.RO,EFGN.SW,2.281672759767793
SYDB.CO,GLE.PA,2.279776520078429
UBSG.SW,BMED.MI,2.2796334516565016
A5G.IR,EBS.VI,2.2791787479920944
EBS.VI,CABK.MC,2.27745377990698
KBC.BR,INGA.AS,2.277206671185966
EFGN.SW,FBK.MI,2.276019443695116
GLE.PA,BBVA.MC,2.2748570589753103
GLE.PA,BMED.MI,2.274377560722435
HSBA.L,INGA.AS,2.2705018280103166
NONG.OL,BARC.L,2.2693484184402006
NWG.L,ISP.MI,2.269334505707276
KBC.BR,BKT.MC,2.268864746759593
CABK.MC,BIRG.IR,2.266372826478138
PBB.DE,SAN.MC,2.266328481605266
SWED-A.ST,BKT.MC,2.2658449170943897
ETE.AT,SPL.WA,2.263560037670656
BIRG.IR,DBK.DE,2.2615540708974
BKT.MC,BPSO.MI,2.261007085384507
PTSB.IR,VLK.AS,2.2587026556259824
MB.MI,FBK.MI,2.2584534513568624
A5G.IR,BBVA.MC,2.2581639480789555
CMBN.SW,ISP.MI,2.2579796291622265
DANSKE.CO,BPSO.MI,2.2572699557951337
SHB-A.ST,SYDB.CO,2.256646357542052
BPE.MI,BKT.MC,2.2560632682848287
BMED.MI,BPSO.MI,2.2556696934565426
PBB.DE,JYSK.CO,2.255666944100885
BKT.MC,KBC.BR,2.2551289723935337
TPEIR.AT,RBI.VI,2.2551043549297582
ABN.AS,BKT.MC,2.255061400248957
BCVN.SW,ABN.AS,2.254455364500217
BAER.SW,UBSG.SW,2.2541267939315626
HSBA.L,UBSG.SW,2.253455735412157
SWED-A.ST,DBK.DE,2.253220105470087
INVP.L,INGA.AS,2.252720214604046
KOMB.PR,PEO.WA,2.2520913835351632
DANSKE.CO,ISP.MI,2.250461103041073
BCGE.SW,HSBA.L,2.250311956843654
A5G.IR,INGA.AS,2.2489424604439674
BAMI.MI,BMPS.MI,2.247822523857402
SEB-A.ST,UCG.MI,2.246979712836964
BBVA.MC,BNP.PA,2.246970273736047
A5G.IR,BMED.MI,2.246522812330102
A5G.IR,BKT.MC,2.246505315921398
BARC.L,ISP.MI,2.24488639644268
LLOY.L,BNP.PA,2.244801796898398
ABN.AS,UCG.MI,2.244707041849934
TPEIR.AT,BMED.MI,2.2431601690122336
MING.OL,JYSK.CO,2.241584341439858
SYDB.CO,KBC.BR,2.241544933256224
JYSK.CO,SWED-A.ST,2.240077535899279
BBVA.MC,BPE.MI,2.2394349266331
BPE.MI,FBK.MI,2.2394043040831746
ABN.AS,KBC.BR,2.239158786936005
NWG.L,SAN.MC,2.238529772723288
DANSKE.CO,SEB-A.ST,2.238108771515624
CBK.DE,BPSO.MI,2.23674954063555
BIRG.IR,BAMI.MI,2.2357608587755
SAN.MC,DBK.DE,2.234455160096874
STAN.L,BAMI.MI,2.233996481205875
SWED-A.ST,ISP.MI,2.2335547677997125
BKT.MC,BAMI.MI,2.2332532742743507
GLE.PA,DBK.DE,2.233201944020321
BMED.MI,KBC.BR,2.23215145816356
KOMB.PR,SPL.WA,2.230858377585745
PBB.DE,BARC.L,2.229468106651786
TPEIR.AT,KOMB.PR,2.2287372126805702
BNP.PA,BBVA.MC,2.228505783685016
BIRG.IR,UCG.MI,2.227941028054632
UCG.MI,INGA.AS,2.224073678083202
EFGN.SW,BNP.PA,2.22398905996778
CABK.MC,BNP.PA,2.222490607261252
TLV.RO,EBS.VI,2.2224343278750034
FBK.MI,BNP.PA,2.222370580412237
STAN.L,UCG.MI,2.221167460025274
ABN.AS,BMED.MI,2.2202056058431827
BBVA.MC,BMED.MI,2.2190088548091595
BMPS.MI,CABK.MC,2.2174961965534363
CABK.MC,BAMI.MI,2.217234006721409
SYDB.CO,DBK.DE,2.216541938193949
INGA.AS,KBC.BR,2.2157697473243605
DNB.OL,UCG.MI,2.2156155662983803
EUROB.AT,BMED.MI,2.214044255567105
BMPS.MI,FBK.MI,2.2140104613935714
INGA.AS,ACA.PA,2.2110384443803213
SAB.MC,BIRG.IR,2.2088064339582574
ISP.MI,FBK.MI,2.2083032492641985
BNP.PA,CABK.MC,2.2082001388922663
MBK.WA,ISP.MI,2.2081888053824605
SYDB.CO,SAN.MC,2.206791580954708
BBVA.MC,KBC.BR,2.206582098343596
GLE.PA,DANSKE.CO,2.205132220348242
FBK.MI,SAN.MC,2.204279755412561
BMPS.MI,SAB.MC,2.2018527634388247
SWED-A.ST,INGA.AS,2.2013559987645217
STAN.L,INVP.L,2.199694362944279
KBC.BR,BBVA.MC,2.1992000152313333
RBI.VI,ISP.MI,2.198981966464881
DNB.OL,SWED-A.ST,2.1984260831671527
EFGN.SW,UBSG.SW,2.197506569254056
NONG.OL,DANSKE.CO,2.195825623872407
CBG.L,SEB-A.ST,2.1954439823332934
DANSKE.CO,BMED.MI,2.194313025423912
BCVN.SW,BKT.MC,2.193294653953372
EBS.VI,GLE.PA,2.191877641490142
SHB-A.ST,BKT.MC,2.191226581594179
NWG.L,BNP.PA,2.1911531426408954
EFGN.SW,ISP.MI,2.189815519149686
BBVA.MC,EBS.VI,2.188570694239106
