timestamp,symbol,reason,coverage,span_years
2025-11-05 15:33:28,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 15:42:08,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 15:42:08,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 15:42:08,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 15:42:08,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 15:42:08,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 15:42:08,BG.VI,coverage<90%,71.86,8.02
2025-11-05 15:42:08,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 15:42:08,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 15:42:08,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 16:37:03,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 16:37:03,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 16:37:03,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 16:37:03,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 16:37:03,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 16:37:03,BG.VI,coverage<90%,71.86,8.02
2025-11-05 16:37:03,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 16:37:03,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 16:37:03,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 16:37:13,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 16:37:13,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 16:37:13,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 16:37:13,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 16:37:13,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 16:37:13,BG.VI,coverage<90%,71.86,8.02
2025-11-05 16:37:13,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 16:37:13,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 16:37:13,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 16:37:32,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 16:37:32,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 16:37:32,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 16:37:32,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 16:37:32,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 16:37:32,BG.VI,coverage<90%,71.86,8.02
2025-11-05 16:37:32,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 16:37:32,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 16:37:32,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 16:44:02,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 16:44:02,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 16:44:02,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 16:44:02,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 16:44:02,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 16:44:02,BG.VI,coverage<90%,71.86,8.02
2025-11-05 16:44:02,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 16:44:02,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 16:44:02,UNI.MC,coverage<90%,75.69,8.34
2025-11-05 16:47:22,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 16:47:22,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 16:47:22,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 16:47:22,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 16:47:22,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 16:47:22,BG.VI,coverage<90%,71.86,8.02
2025-11-05 16:47:22,MONET.PR,coverage<90%,78.25,8.79
2025-11-05 16:47:22,MTRO.L,coverage<90%,86.59,9.66
2025-11-05 16:47:22,UNI.MC,coverage<90%,75.69,8.34
